Number,Word,Type,Pronounce,Meaning
1,as,,,as
2,I,,,I
3,his,,,his
4,that,,,that
5,he,,,he
6,was,,,was
7,for,,,for
8,on,,,on
9,are,,,are
10,with,,,with
11,they,,,they
12,be,,,be
13,at,,,at
14,one,,,one
15,have,,,have
16,this,,,this
17,from,,,from
18,by,,,by
19,hot,,,hot
20,word,,,word
21,but,,,but
22,what,,,what
23,some,,,some
24,is,,,is
25,it,,,it
26,you,,,you
27,or,,,or
28,had,,,had
29,the,,,the
30,of,,,of
31,to,,,to
32,and,,,and
33,a,,,a
34,in,,,in
35,we,,,we
36,can,,,can
37,out,,,out
38,other,,,other
39,were,,,were
40,which,,,which
41,do,,,do
42,their,,,their
43,time,,,time
44,if,,,if
45,will,,,will
46,how,,,how
47,said,,,said
48,an,,,an
49,each,,,each
50,tell,,,tell
51,does,,,does
52,set,,,set
53,three,,,three
54,want,,,want
55,air,,,air
56,well,,,well
57,also,,,also
58,play,,,play
59,small,,,small
60,end,,,end
61,put,,,put
62,home,,,home
63,read,,,read
64,hand,,,hand
65,port,,əd'vais,port
66,large,,əd'vaiz,large
67,spell,,ə'feə,spell
68,add,,ə'fekt,add
69,even,,ə'fekʃn,even
70,land,,ə'fɔ:d,land
71,here,,ə'freid,here
72,must,,ɑ:ftə,must
73,big,,ɑ:ftə'nu:n,big
74,high,,ɑ:ftəwəd,high
75,such,,ə'gen,such
76,follow,,ə'geinst,follow
77,act,,eidʤ,act
78,why,,eidʤid,why
79,ask,,eidʤənsi,ask
80,men,,eidʤənt,men
81,change,,ə'gresiv,change
82,went,,ə'gou,went
83,light,,ə'gri:,light
84,kind,,ə'gri:mənt,kind
85,off,,ə'hed,off
86,need,,eid,need
87,house,,eim,house
88,picture,,eə,picture
89,try,,eəkrɑ:ft,try
90,us,,,us
91,again,,ə'lɑ:m,again
92,animal,,ə'lɑ:m,animal
93,point,,ə'lɑ:miɳ,point
94,mother,,ælkəhɔl,mother
95,world,,",ælkə'hɔlik",world
96,near,,ə'laiv,near
97,build,,ɔ:l,build
98,self,,ɔ:l'rait,self
99,earth,,ə'laid,earth
100,father,,ə'lau,father
101,any,,æli,any
102,new,,ɔ:lmoust,new
103,work,,ə'loun,work
104,part,,ə'lɔɳ,part
105,take,,ə'lɔɳ'said,take
106,get,,ə'laud,get
107,place,,ælfəbit,place
108,made,,",æflə'betikl",made
109,live,,",ælfə'betikəli",live
110,where,,ɔ:l'redi,where
111,after,,ɔ:lsou,after
112,back,,ɔ:ltə,back
113,little,,ɔ:l'tə:nətiv,little
114,only,,,only
115,round,,ɔ:l'ðou,round
116,man,,",ɔ:ltə'geðə",man
117,year,,ɔ:lwəz,year
118,came,,ə'meiz,came
119,show,,ə'meiz,show
120,every,,ə'meiziɳ,every
121,good,,æm'biʃn,good
122,me,,æmbjuləns,me
123,give,,ə'mʌɳ,give
124,our,,ə'maunt,our
125,under,,ə'mju:z,under
126,name,,ə'mju:zd,name
127,very,,ə'mju:ziɳ,very
128,through,,ænəlaiz,through
129,just,,ə'næləsis,just
130,form,,einʃənt,form
131,sentence,,"ænd, ənd, ən",sentence
132,great,,æɳgə,great
133,think,,æɳgl,think
134,say,,æɳgrili,say
135,help,,æɳgri,help
136,low,,æniməl,low
137,line,,æɳkl,line
