number,name,type,pronounce,description,example,url
0,house,noun,hous,"a building for human habitation, especially one that is lived in by a family or small group of people.; a building in which people meet for a particular activity; a religious community that occupies a particular building; a legislative or deliberative assembly; a style of popular dance music typically using synthesized drum and bass lines, sparse repetitive vocals, and a fast beat.; any of the twelve divisions of the celestial sphere, based on the positions of the ascendant and midheaven at a given time and place, and determined by any of a number of methods.","a house of prayer;the Cistercian house at Clairvaux;the sixty-member National Council, the country's upper house",
1,back,noun,bak,the rear surface of the human body from the shoulders to the hips; the side or part of something that is away from the spectator or from the direction in which it moves or faces; the rear; a player in a field game whose initial position is behind the front line,he lay on his back;back pain;Forbes slapped me on the back,
2,old,adjective,ōld,"having lived for a long time; no longer young; belonging only or chiefly to the past; former or previous; of a specified age; used to express affection, familiarity, or contempt","the old man lay propped up on cushions;he was fourteetn years old;a seven-month-old baby;it gets the old adrenaline going;“ Good old Mom,” she said",
3,but,conjunction,bət,used to introduce a phrase or clause contrasting with what has already been mentioned; used to indicate the impossibility of anything other than what is being stated; used to introduce a response expressing a feeling such as surprise or anger; used after an expression of apology for what one is about to say; without it being the case that,"one cannot but sympathize;there was nothing they could do but swallow their pride;they had no alternative but to follow;I'm sorry, but I can't pay you;it never rains but it pours",
4,change,verb,CHānj,make or become different; take or use another instead of,a proposal to change the law;a Virginia creeper just beginning to change from green to gold;she decided to change her name,
5,again,adverb,əˈɡen,another time; once more,it was great to meet old friends again;they were disappointed yet again,
6,after,preposition,ˈaftər,in the time following (an event or another period of time); behind; in pursuit or quest of; next to and following in order or importance; in allusion to (someone or something with the same or a related name); concerning or about,"after a while he returned;shortly after Christmas;there's only one thing to do after an experience like that;she went out, shutting the door after her;in their order of priorities health comes after housing;x comes after y in the series;they named her Pauline, after Barbara's mother;she has asked after Iris's mother",
7,which,pronoun,(h)wiCH,asking for information specifying one or more people or things from a definite set,which are the best varieties of grapes for long keeping?;which of the suspects murdered him?;which way is the wind blowing?,
8,land,noun,land,"the part of the earth's surface that is not covered by water, as opposed to the sea or the air; a country; the space between the rifling grooves in a gun.",the reptiles lay their eggs on land;after four weeks at sea we sighted land,
9,look,verb,lo͝ok,direct one's gaze toward someone or something or in a specified direction; think of or regard in a specified way; have the appearance or give the impression of being; rely on to do or provide something,,
10,hot,adjective,hät,"having a high degree of heat or a high temperature; (of food) containing or consisting of pungent spices or peppers which produce a burning sensation when tasted; passionately enthusiastic, eager, or excited; involving much activity, debate, or intense feeling; knowledgeable or skillful; difficult to deal with",a very hot dish cooked with green chili;Tony is very hot on local history,
11,ask,verb,ask,say something in order to obtain an answer or some information; request (someone) to do or give something; invite (someone) to one's home or a function,people are always asking questions;“How much further?” I asked;the old man asked about her job;he asked if she wanted coffee;he asked whether his electric wheelchair would fit through their doors;Mary asked her father for money;I asked him to call the manager;don't be afraid to ask for advice;it's about time we asked Pam to dinner,
12,kind,noun,kīnd,a group of people or things having similar characteristics,all kinds of music;a new kind of education;more data of this kind would be valuable,
13,play,verb,plā,"engage in activity for enjoyment and recreation rather than a serious or practical purpose; take part in (a sport); represent (a character) in a theatrical performance or a film; perform on (a musical instrument); move lightly and quickly, so as to appear and disappear; flicker; allow (a fish) to exhaust itself pulling against a line before reeling it in.",she played Ophelia,
14,before,preposition,bəˈfôr,"during the period of time preceding (a particular event, date, or time); in front of; in preference to; with a higher priority than","she had to rest before dinner;the day before yesterday;they lived rough for four days before they were arrested;his playing days had ended six years before;it's never happened to me before;before the war;it wasn't long before I had my first bite;Matilda stood before her, panting;trotting through the city with guards running before and behind;the patterns swam before her eyes;a skilled warrior who places duty before all else;they would die before they would cooperate with each other",
15,could,verb,ko͝od,used to indicate possibility.; used in making polite requests.; used to indicate annoyance because of something that has not been done.,they could be right;could I use the phone?,
16,call,verb,kôl,"give (an infant or animal) a specified name; cry out (a word or words); contact or attempt to contact (a person or number) by phone; order or request the attendance of; announce or decide that (an event, especially a meeting, strike, or election) is to happen; (of a person) pay a brief visit; (of an umpire or other official in a game) pronounce (a ball, stroke, or other action) to be the thing specified; cause (a subroutine) to be executed",they called their daughter Hannah;he heard an insistent voice calling his name;Meredith was already calling out a greeting;he had promised Celia he would call in at the clinic;he called around last night looking for you,
17,start,verb,stärt,come into being; begin or be reckoned from a particular point in time or space; cause (an event or process) to happen; give a small jump or make a sudden jerking movement from surprise or alarm,two men started the blaze that caused the explosion;those women started all the trouble,
18,carry,verb,ˈkerē,"support and move (someone or something) from one place to another; support the weight of; (of a sound, ball, missile, etc.) reach a certain point; assume or accept (responsibility or blame); have as a feature or consequence; approve (a proposed measure) by a majority of votes; transfer (a figure) to an adjacent column during an arithmetical operation (e.g., when a column of digits adds up to more than ten).","the bridge is capable of carrying even the heaviest loads;being a combat sport, karate carries with it the risk of injury;each bike carries a ten-year guarantee",
19,country,noun,ˈkəntrē,"a nation with its own government, occupying a particular territory; districts and small settlements outside large towns, cities, or the capital; an area or region with regard to its physical features",the country's increasingly precarious economic position;the airfield is right out in the country;a country lane;a tract of wild country,
20,water,noun,ˈwôdər,"a colorless, transparent, odorless liquid that forms the seas, lakes, rivers, and rain and is the basis of the fluids of living organisms.; a stretch or area of water, such as a river, sea, or lake; urine; the amniotic fluid surrounding a fetus in the womb, especially as discharged in a flow shortly before birth; the quality of transparency and brilliance shown by a diamond or other gem.; capital stock that represents a book value greater than the true assets of a company.",the lawns ran down to the water's edge;I think my waters have broken,
21,late,adjective,lāt,"doing something or taking place after the expected, proper, or usual time; belonging or taking place near the end of a particular time or period; (of a specified person) no longer alive",his late arrival;she was half an hour late for her lunch appointment;her late husband's grave;the late William Jennings Bryan,
22,close,adjective,,"a short distance away or apart in space or time; denoting a family member who is part of a person's immediate family, typically a parent or sibling; (of observation, examination, etc.) done in a careful and thorough way; uncomfortably humid or airless","a close, hazy day;it was very close in the dressing room",
23,school,noun,sko͞ol,"an institution for educating children; any institution at which instruction is given in a particular discipline; a group of people, particularly writers, artists, or philosophers, sharing the same or similar ideas, methods, or style",Ryder's children did not go to school at all;school supplies;a dancing school;the Frankfurt school of critical theory,
