number,name,type,pronounce,description,example,url
0,しかし,,,[but] used to introduce a phrase or clause contrasting with what has already been mentioned,,
1,変更,,,[change] make or become different,,
2,再び,,,[again] another time; once more,,
3,後に,,,[after] in the time following (an event or another period of time),,
4,国,,,"[country] a nation with its own government, occupying a particular territory",,
5,十分な,,,[enough] as much or as many as required,,
6,ボディ,,,"[body] the physical structure of a person or an animal, including the bones, flesh, and organs",,
7,決定する,,,[decide] come to a resolution in the mind as a result of consideration,,
8,ボート,,,"[boat] a small vessel propelled on water by oars, sails, or an engine",,
9,ホット,,,[hot] having a high degree of heat or a high temperature,,
10,頼む,,,[ask] say something in order to obtain an answer or some information,,
11,種類,,,[kind] a group of people or things having similar characteristics,,
12,学校,,,[school] an institution for educating children,,
13,間に,,,"[between] at, into, or across the space separating (two objects or regions)",,
14,ベース,,,"[base] the lowest part or edge of something, especially the part on which it rests or is supported",,
15,和らげる,,,[ease] absence of difficulty or effort,,
16,介護,,,"[care] the provision of what is necessary for the health, welfare, maintenance, and protection of someone or something",,
17,クラス,,,"[class] a set or category of things having some property or attribute in common and differentiated from others by kind, type, or quality",,
18,船,,,[ship] a vessel larger than a boat for transporting people or goods by sea.,,
19,火災,,,"[fire] combustion or burning, in which substances combine chemically with oxygen from the air and typically give out bright light, heat, and smoke",,
20,もちろん,,,"[course] the route or direction followed by a ship, aircraft, road, or river",,
21,テスト,,,"[test] a procedure intended to establish the quality, performance, or reliability of something, especially before it is taken into widespread use",,
22,家,,,"[house] a building for human habitation, especially one that is lived in by a family or small group of people.",,
23,バック,,,[back] the rear surface of the human body from the shoulders to the hips,,
24,古い,,,[old] having lived for a long time; no longer young,,
25,コール,,,[call] give (an infant or animal) a specified name,,
26,スタート,,,[start] come into being; begin or be reckoned from a particular point in time or space,,
27,運ぶ,,,[carry] support and move (someone or something) from one place to another,,
28,常に,,,[always] at all times; on all occasions,,
29,感じる,,,[feel] be aware of (a person or object) through touching or being touched.,,
30,犬,,,"[dog] a domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, nonretractable claws, and a barking, howling, or whining voice.",,
31,一般的な,,,"[common] occurring, found, or done often; prevalent",,
32,ドライ,,,[dry] free from moisture or liquid; not wet or moist,,
33,ホット,,,[hot] having a high degree of heat or a high temperature,,
34,東,,,"[east] the direction toward the point of the horizon where the sun rises at the equinoxes, on the right-hand side of a person facing north, or the point on the horizon itself",,
35,遊ぶ,,,[play] engage in activity for enjoyment and recreation rather than a serious or practical purpose,,
36,前に,,,"[before] during the period of time preceding (a particular event, date, or time)",,
37,可能性,,,[could] used to indicate possibility.,,
38,答え,,,"[answer] a thing said, written, or done to deal with or as a reaction to a question, statement, or situation",,
39,学ぶ,,,"[learn] gain or acquire knowledge of or skill in (something) by study, experience, or being taught",,
40,フィート,,,"[feet] the lower extremity of the leg below the ankle, on which a person stands or walks.",,
41,完全な,,,[complete] having all the necessary or appropriate parts,,
42,チェック,,,"[check] examine (something) in order to determine its accuracy, quality, or condition, or to detect the presence of something",,
43,含む,,,[contain] have or hold (someone or something) within,,
44,これ,,,[which] asking for information specifying one or more people or things from a definite set,,
45,土地,,,"[land] the part of the earth's surface that is not covered by water, as opposed to the sea or the air",,
46,見える,,,[look] direct one's gaze toward someone or something or in a specified direction,,
47,水,,,"[water] a colorless, transparent, odorless liquid that forms the seas, lakes, rivers, and rain and is the basis of the fluids of living organisms.",,
48,遅く,,,"[late] doing something or taking place after the expected, proper, or usual time",,
49,クローズ,,,[close] a short distance away or apart in space or time,,
50,エリア,,,"[area] a region or part of a town, a country, or the world",,
51,暗い,,,[dark] with little or no light,,
52,美しさ,,,"[beauty] a combination of qualities, such as shape, color, or form, that pleases the aesthetic senses, especially the sight",,
53,正しい,,,[correct] free from error; in accordance with fact or truth,,
54,明確な,,,"[clear] easy to perceive, understand, or interpret",,
55,間に,,,[during] throughout the course or duration of (a period of time),,
56,早い,,,[early] happening or done before the usual or expected time,,
57,含める,,,[include] comprise or contain as part of a whole,,
58,泣く,,,"[cry] shed tears, typically as an expression of distress, pain, or sorrow",,
59,ベッド,,,"[bed] a piece of furniture for sleep or rest, typically a framework with a mattress and coverings",,
60,信じる,,,[believe] accept (something) as true; feel sure of the truth of,,
61,分割,,,[divide] separate or be separated into parts,,
62,海,,,"[ocean] a very large expanse of sea, in particular each of the main areas into which the sea is divided geographically",,
63,寒い,,,"[cold] of or at a low or relatively low temperature, especially when compared with the human body",,
64,セル,,,[cell] a small room in which a prisoner is locked up or in which a monk or nun sleeps.,,
65,アート,,,"[art] the expression or application of human creative skill and imagination, typically in a visual form such as painting or sculpture, producing works to be appreciated primarily for their beauty or emotional power",,
66,兄,,,[brother] a man or boy in relation to other sons and daughters of his parents.,,
67,地域,,,"[region] an area or division, especially part of a country or the world having definable characteristics but not always fixed boundaries",,
68,エンジン,,,[engine] a machine with moving parts that converts power into motion.,,
69,材料,,,[material] the matter from which a thing is or can be made,,
70,キャッチ,,,"[catch] intercept and hold (something which has been thrown, propelled, or dropped)",,
71,サークル,,,[circle] a round plane figure whose boundary (the circumference) consists of points equidistant from a fixed point (the center).,,
72,ドロップ,,,[drop] let or make (something) fall vertically.,,
73,ダンス,,,"[dance] move rhythmically to music, typically following a set sequence of steps",,
74,帆,,,[sail] a piece of material extended on a mast to catch the wind and propel a boat or ship or other vessel,,
75,乳牛,,,"[cow] a fully grown female animal of a domesticated breed of ox, kept to produce milk or beef",,
76,最低,,,"[least] smallest in amount, extent, or significance",,
77,打撃,,,[blow] (of wind) move creating an air current,,
78,選ぶ,,,[choose] pick out or select (someone or something) as being the best or most appropriate of two or more alternatives.,,
79,耳,,,"[ear] the organ of hearing and balance in humans and other vertebrates, especially the external part of this.",,
80,死ぬ,,,"[die] (of a person, animal, or plant) stop living",,
81,殺す,,,"[kill] cause the death of (a person, animal, or other living thing)",,
82,子音,,,[consonant] a basic speech sound in which the breath is at least partly obstructed and which can be combined with a vowel to form a syllable.,,
83,フェア,,,[fair] in accordance with the rules or standards; legitimate.,,
84,瞬間,,,[moment] a very brief period of time,,
85,年齢,,,[age] the length of time that a person has lived or a thing has existed,,
86,デザイン,,,"[design] a plan or drawing produced to show the look and function or workings of a building, garment, or other object before it is built or made",,
87,買う,,,[buy] obtain in exchange for payment,,
88,ハンドヘルド,,,"[held] grasp, carry, or support with one's arms or hands.",,
89,どちら,,,[either] used before the first of two (or occasionally more) alternatives that are being specified (the other being introduced by “or”),,
90,ビート,,,"[beat] strike (a person or an animal) repeatedly and violently so as to hurt or injure them, typically with an implement such as a club or whip",,http://an-image-updated.jpeg
91,アトム,,,[atom] the basic unit of a chemical element.,,
92,同意する,,,[agree] have the same opinion about something; concur,,
93,決まる,,,[depend] be controlled or determined by,,
94,新鮮な,,,"[fresh] (of food) recently made or obtained; not canned, frozen, or otherwise preserved",,
95,観察する,,,[observe] notice or perceive (something) and register it as being significant,,
96,辞書,,,"[dictionary] a book or electronic resource that lists the words of a language (typically in alphabetical order) and gives their meaning, or gives the equivalent words in a different language, often also providing information about pronunciation, origin, and usage",,
97,ボトム,,,[bottom] the lowest point or part of something,,
98,危険,,,[danger] the possibility of suffering harm or injury,,
99,ドレス,,,[dress] put on one's clothes,,
100,世紀,,,[century] a period of one hundred years,,
101,海岸,,,[coast] the part of the land near the sea; the edge of the land,,
102,骨,,,[bone] any of the pieces of hard whitish tissue making up the skeleton in humans and other vertebrates,,
103,春,,,[spring] move or jump suddenly or rapidly upward or forward,,
104,クラウド,,,"[cloud] a visible mass of condensed water vapor floating in the atmosphere, typically high above the ground",,
105,登る,,,"[climb] go or come up (a slope, incline, or staircase), especially by using the feet and sometimes the hands; ascend",,
106,説明する,,,"[describe] give an account in words of (someone or something), including all the relevant characteristics, qualities, or events",,
107,燃やす,,,[burn] (of a fire) flame or glow while consuming a material such as coal or wood,,
108,考える,,,"[consider] think carefully about (something), typically before making a decision",,
109,コピー,,,[copy] a thing made to be similar or identical to another,,
110,ナチュラル,,,[natural] existing in or caused by nature; not made or caused by humankind,,
111,難しい,,,"[difficult] needing much effort or skill to accomplish, deal with, or understand",,
112,コーナー,,,[corner] a place or angle where two or more sides or edges meet,,
113,感覚,,,"[sense] a faculty by which the body perceives an external stimulus; one of the faculties of sight, smell, hearing, taste, and touch",,
114,要素,,,"[element] a part or aspect of something abstract, especially one that is essential or characteristic",,
115,昆虫,,,[insect] a small arthropod animal that has six legs and generally one or two pairs of wings,,
116,キャプテン,,,[captain] the person in command of a ship.,,
117,作る,,,[create] bring (something) into existence,,
118,群衆,,,[crowd] a large number of people gathered together in a disorganized or unruly way,,
119,薄い,,,[thin] having opposite surfaces or sides close together; of little thickness or depth,,
120,許可する,,,[allow] give (someone) permission to do something,,
121,マスター,,,"[master] a man who has people working for him, especially servants or slaves",,
122,コート,,,"[coat] an outer garment worn outdoors, having sleeves and typically extending below the hips",,
123,フィード,,,[feed] give food to,,
124,谷,,,"[valley] a low area of land between hills or mountains, typically with a river or stream flowing through it",,
125,ブロック,,,"[block] a large solid piece of hard material, especially rock, stone, or wood, typically with flat surfaces on each side",,
126,会社,,,[company] a commercial business,,
127,綿,,,[cotton] a soft white fibrous substance that surrounds the seeds of a tropical and subtropical plant and is used as textile fiber and thread for sewing,,
128,コラム,,,"[column] an upright pillar, typically cylindrical and made of stone or concrete, supporting an entablature, arch, or other structure or standing alone as a monument.",,
129,チーフ,,,[chief] a leader or ruler of a people or clan,,
130,サフィックス,,,"[suffix] a morpheme added at the end of a word to form a derivative, e.g., -ation, -fy, -ing, -itis.",,
131,特定の,,,[particular] used to single out an individual member of a specified group or class,,
132,キャンプ,,,"[camp] a place with temporary accommodations of huts, tents, or other structures, typically used by soldiers, refugees, prisoners, or travelers",,
133,請求,,,"[claim] state or assert that something is the case, typically without providing evidence or proof",,
134,比較する,,,"[compare] estimate, measure, or note the similarity or dissimilarity between",,
135,肉,,,[meat] the flesh of an animal (especially a mammal) as food,,
136,印刷,,,"[print] produce (books, newspapers, magazines, etc.), especially in large quantities, by a mechanical process involving the transfer of text, images, or designs to paper",,
137,現在の,,,[current] belonging to the present time; happening or being used or done now,,
138,和音,,,"[chord] a group of (typically three or more) notes sounded together, as a basis of harmony",,
139,バー,,,"[bar] a long rod or rigid piece of wood, metal, or similar material, typically used as an obstruction, fastening, or weapon.",,
140,かわいい,,,[dear] regarded with deep affection; cherished by someone,,
141,ブランチ,,,[branch] a part of a tree which grows out from the trunk or from a bough.,,
142,恐れて,,,[afraid] feeling fear or anxiety; frightened,,
143,リンゴ,,,"[apple] the round fruit of a tree of the rose family, which typically has thin red or green skin and crisp flesh. Many varieties have been developed as dessert or cooking fruit or for making cider.",,
144,ボルン,,,[born] existing as a result of birth.,,
145,死,,,[death] the action or fact of dying or being killed; the end of the life of a person or organism,,
146,アレンジ,,,"[arrange] put (things) in a neat, attractive, or required order",,
147,決定する,,,[determine] cause (something) to occur in a particular way; be the decisive factor in,,
148,幅広い,,,[broad] having an ample distance from side to side; wide,,
149,届く,,,[arrive] reach a place at the end of a journey or a stage in a journey,,
150,分裂,,,[division] the action of separating something into parts or the process of being separated,,
151,充電,,,[charge] demand (an amount) as a price from someone for a service rendered or goods supplied,,
152,スキル,,,[skill] the ability to do something well; expertise,,
153,特に,,,"[especially] used to single out one person, thing, or situation over all others",,
154,成功,,,[success] the accomplishment of an aim or purpose,,
155,契約,,,[deal] distribute (cards) in an orderly rotation to players for a game or round,,
156,大陸,,,"[continent] any of the world's main continuous expanses of land (Africa, Antarctica, Asia, Australia, Europe, North America, South America).",,
