number,name,type,pronounce,description,example,url
0,nhưng,,,[but] used to introduce a phrase or clause contrasting with what has already been mentioned,,
1,thay đổi,,,[change] make or become different,,
2,một lần nữa,,,[again] another time; once more,,
3,sau khi,,,[after] in the time following (an event or another period of time),,
4,mà,,,[which] asking for information specifying one or more people or things from a definite set,,
5,đất,,,"[land] the part of the earth's surface that is not covered by water, as opposed to the sea or the air",,
6,nóng,,,[hot] having a high degree of heat or a high temperature,,
7,xin,,,[ask] say something in order to obtain an answer or some information,,
8,loại,,,[kind] a group of people or things having similar characteristics,,
9,chơi,,,[play] engage in activity for enjoyment and recreation rather than a serious or practical purpose,,
10,trước,,,"[before] during the period of time preceding (a particular event, date, or time)",,
11,nhà,,,"[house] a building for human habitation, especially one that is lived in by a family or small group of people.",,
12,trở lại,,,[back] the rear surface of the human body from the shoulders to the hips,,
13,cũ,,,[old] having lived for a long time; no longer young,,
14,nước,,,"[country] a nation with its own government, occupying a particular territory",,
15,xem,,,[look] direct one's gaze toward someone or something or in a specified direction,,
16,nước,,,"[water] a colorless, transparent, odorless liquid that forms the seas, lakes, rivers, and rain and is the basis of the fluids of living organisms.",,
17,cuối,,,"[late] doing something or taking place after the expected, proper, or usual time",,
18,gần,,,[close] a short distance away or apart in space or time,,
19,có thể,,,[could] used to indicate possibility.,,
20,câu trả lời,,,"[answer] a thing said, written, or done to deal with or as a reaction to a question, statement, or situation",,
21,học,,,"[learn] gain or acquire knowledge of or skill in (something) by study, experience, or being taught",,
22,gọi,,,[call] give (an infant or animal) a specified name,,
23,trường,,,[school] an institution for educating children,,
24,giữa,,,"[between] at, into, or across the space separating (two objects or regions)",,
25,bắt đầu,,,[start] come into being; begin or be reckoned from a particular point in time or space,,
26,thực hiện,,,[carry] support and move (someone or something) from one place to another,,
27,đủ,,,[enough] as much or as many as required,,
28,khu vực,,,"[area] a region or part of a town, a country, or the world",,
29,luôn luôn,,,[always] at all times; on all occasions,,
30,cơ sở,,,"[base] the lowest part or edge of something, especially the part on which it rests or is supported",,
31,cơ thể,,,"[body] the physical structure of a person or an animal, including the bones, flesh, and organs",,
32,chân,,,"[feet] the lower extremity of the leg below the ankle, on which a person stands or walks.",,
33,giảm bớt,,,[ease] absence of difficulty or effort,,
34,chăm sóc,,,"[care] the provision of what is necessary for the health, welfare, maintenance, and protection of someone or something",,
35,tối,,,[dark] with little or no light,,
36,quyết định,,,[decide] come to a resolution in the mind as a result of consideration,,
37,vẻ đẹp,,,"[beauty] a combination of qualities, such as shape, color, or form, that pleases the aesthetic senses, especially the sight",,
38,cảm thấy,,,[feel] be aware of (a person or object) through touching or being touched.,,
39,con chó,,,"[dog] a domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, nonretractable claws, and a barking, howling, or whining voice.",,
40,thuyền,,,"[boat] a small vessel propelled on water by oars, sails, or an engine",,
41,lớp,,,"[class] a set or category of things having some property or attribute in common and differentiated from others by kind, type, or quality",,
42,tàu,,,[ship] a vessel larger than a boat for transporting people or goods by sea.,,
43,hoàn thành,,,[complete] having all the necessary or appropriate parts,,
44,lửa,,,"[fire] combustion or burning, in which substances combine chemically with oxygen from the air and typically give out bright light, heat, and smoke",,
45,anh trai,,,[brother] a man or boy in relation to other sons and daughters of his parents.,,
46,Tất nhiên,,,"[course] the route or direction followed by a ship, aircraft, road, or river",,
47,khu,,,"[region] an area or division, especially part of a country or the world having definable characteristics but not always fixed boundaries",,
48,phổ biến,,,"[common] occurring, found, or done often; prevalent",,
49,khô,,,[dry] free from moisture or liquid; not wet or moist,,
50,động cơ,,,[engine] a machine with moving parts that converts power into motion.,,
51,kiểm tra,,,"[test] a procedure intended to establish the quality, performance, or reliability of something, especially before it is taken into widespread use",,
52,tài liệu,,,[material] the matter from which a thing is or can be made,,
53,bắt,,,"[catch] intercept and hold (something which has been thrown, propelled, or dropped)",,
54,nóng,,,[hot] having a high degree of heat or a high temperature,,
55,kiểm tra,,,"[check] examine (something) in order to determine its accuracy, quality, or condition, or to detect the presence of something",,
56,đông,,,"[east] the direction toward the point of the horizon where the sun rises at the equinoxes, on the right-hand side of a person facing north, or the point on the horizon itself",,
57,nhất,,,"[least] smallest in amount, extent, or significance",,
58,đòn,,,[blow] (of wind) move creating an air current,,
59,kêu,,,"[cry] shed tears, typically as an expression of distress, pain, or sorrow",,
60,công bằng,,,[fair] in accordance with the rules or standards; legitimate.,,
61,thời điểm,,,[moment] a very brief period of time,,
62,tuổi,,,[age] the length of time that a person has lived or a thing has existed,,
63,thiết kế,,,"[design] a plan or drawing produced to show the look and function or workings of a building, garment, or other object before it is built or made",,
64,chứa,,,[contain] have or hold (someone or something) within,,
65,đại dương,,,"[ocean] a very large expanse of sea, in particular each of the main areas into which the sea is divided geographically",,
66,ý nghĩa,,,"[sense] a faculty by which the body perceives an external stimulus; one of the faculties of sight, smell, hearing, taste, and touch",,
67,yếu tố,,,"[element] a part or aspect of something abstract, especially one that is essential or characteristic",,
68,côn trùng,,,[insect] a small arthropod animal that has six legs and generally one or two pairs of wings,,
69,chính xác,,,[correct] free from error; in accordance with fact or truth,,
70,đội trưởng,,,[captain] the person in command of a ship.,,
71,tạo,,,[create] bring (something) into existence,,
72,đám đông,,,[crowd] a large number of people gathered together in a disorganized or unruly way,,
73,trong,,,"[clear] easy to perceive, understand, or interpret",,
74,mỏng,,,[thin] having opposite surfaces or sides close together; of little thickness or depth,,
75,trong khi,,,[during] throughout the course or duration of (a period of time),,
76,đầu,,,[early] happening or done before the usual or expected time,,
77,đến,,,[arrive] reach a place at the end of a journey or a stage in a journey,,
78,phân chia,,,[division] the action of separating something into parts or the process of being separated,,
79,phí,,,[charge] demand (an amount) as a price from someone for a service rendered or goods supplied,,
80,kỹ năng,,,[skill] the ability to do something well; expertise,,
81,đặc biệt là,,,"[especially] used to single out one person, thing, or situation over all others",,
82,bao gồm,,,[include] comprise or contain as part of a whole,,
83,thành công,,,[success] the accomplishment of an aim or purpose,,
84,thỏa thuận,,,[deal] distribute (cards) in an orderly rotation to players for a game or round,,
85,lạnh,,,"[cold] of or at a low or relatively low temperature, especially when compared with the human body",,
86,pin,,,[cell] a small room in which a prisoner is locked up or in which a monk or nun sleeps.,,
87,giường,,,"[bed] a piece of furniture for sleep or rest, typically a framework with a mattress and coverings",,
88,tin,,,[believe] accept (something) as true; feel sure of the truth of,,
89,nghệ thuật,,,"[art] the expression or application of human creative skill and imagination, typically in a visual form such as painting or sculpture, producing works to be appreciated primarily for their beauty or emotional power",,
90,vòng tròn,,,[circle] a round plane figure whose boundary (the circumference) consists of points equidistant from a fixed point (the center).,,
91,rơi,,,[drop] let or make (something) fall vertically.,,
92,khiêu vũ,,,"[dance] move rhythmically to music, typically following a set sequence of steps",,
93,chia,,,[divide] separate or be separated into parts,,
94,buồm,,,[sail] a piece of material extended on a mast to catch the wind and propel a boat or ship or other vessel,,
95,bò,,,"[cow] a fully grown female animal of a domesticated breed of ox, kept to produce milk or beef",,
96,giết,,,"[kill] cause the death of (a person, animal, or other living thing)",,
97,lục,,,"[continent] any of the world's main continuous expanses of land (Africa, Antarctica, Asia, Australia, Europe, North America, South America).",,
98,chọn,,,[choose] pick out or select (someone or something) as being the best or most appropriate of two or more alternatives.,,
99,tai,,,"[ear] the organ of hearing and balance in humans and other vertebrates, especially the external part of this.",,
100,mua,,,[buy] obtain in exchange for payment,,
101,chết,,,"[die] (of a person, animal, or plant) stop living",,
102,quan sát,,,[observe] notice or perceive (something) and register it as being significant,,
103,từ điển,,,"[dictionary] a book or electronic resource that lists the words of a language (typically in alphabetical order) and gives their meaning, or gives the equivalent words in a different language, often also providing information about pronunciation, origin, and usage",,
104,dưới,,,[bottom] the lowest point or part of something,,
105,phụ âm,,,[consonant] a basic speech sound in which the breath is at least partly obstructed and which can be combined with a vowel to form a syllable.,,
106,váy,,,[dress] put on one's clothes,,
107,thế kỷ,,,[century] a period of one hundred years,,
108,bờ biển,,,[coast] the part of the land near the sea; the edge of the land,,
109,được tổ chức,,,"[held] grasp, carry, or support with one's arms or hands.",,
110,hoặc,,,[either] used before the first of two (or occasionally more) alternatives that are being specified (the other being introduced by “or”),,
111,đánh bại,,,"[beat] strike (a person or an animal) repeatedly and violently so as to hurt or injure them, typically with an implement such as a club or whip",,http://an-image-updated.jpeg
112,nguyên tử,,,[atom] the basic unit of a chemical element.,,
113,đồng ý,,,[agree] have the same opinion about something; concur,,
114,mùa xuân,,,[spring] move or jump suddenly or rapidly upward or forward,,
115,điện toán đám mây,,,"[cloud] a visible mass of condensed water vapor floating in the atmosphere, typically high above the ground",,
116,lên cao,,,"[climb] go or come up (a slope, incline, or staircase), especially by using the feet and sometimes the hands; ascend",,
117,mô tả,,,"[describe] give an account in words of (someone or something), including all the relevant characteristics, qualities, or events",,
118,ghi,,,[burn] (of a fire) flame or glow while consuming a material such as coal or wood,,
119,xem xét,,,"[consider] think carefully about (something), typically before making a decision",,
120,bản sao,,,[copy] a thing made to be similar or identical to another,,
121,tự nhiên,,,[natural] existing in or caused by nature; not made or caused by humankind,,
122,khó khăn,,,"[difficult] needing much effort or skill to accomplish, deal with, or understand",,
123,góc,,,[corner] a place or angle where two or more sides or edges meet,,
124,nguy hiểm,,,[danger] the possibility of suffering harm or injury,,
125,trưởng,,,[chief] a leader or ruler of a people or clan,,
126,xương,,,[bone] any of the pieces of hard whitish tissue making up the skeleton in humans and other vertebrates,,
127,so sánh,,,"[compare] estimate, measure, or note the similarity or dissimilarity between",,
128,thịt,,,[meat] the flesh of an animal (especially a mammal) as food,,
129,in,,,"[print] produce (books, newspapers, magazines, etc.), especially in large quantities, by a mechanical process involving the transfer of text, images, or designs to paper",,
130,hiện tại,,,[current] belonging to the present time; happening or being used or done now,,
131,hợp âm,,,"[chord] a group of (typically three or more) notes sounded together, as a basis of harmony",,
132,thanh,,,"[bar] a long rod or rigid piece of wood, metal, or similar material, typically used as an obstruction, fastening, or weapon.",,
133,thân yêu,,,[dear] regarded with deep affection; cherished by someone,,
134,chi nhánh,,,[branch] a part of a tree which grows out from the trunk or from a bough.,,
135,sợ,,,[afraid] feeling fear or anxiety; frightened,,
136,táo,,,"[apple] the round fruit of a tree of the rose family, which typically has thin red or green skin and crisp flesh. Many varieties have been developed as dessert or cooking fruit or for making cider.",,
137,phụ thuộc,,,[depend] be controlled or determined by,,
138,tươi,,,"[fresh] (of food) recently made or obtained; not canned, frozen, or otherwise preserved",,
139,cho phép,,,[allow] give (someone) permission to do something,,
140,chủ,,,"[master] a man who has people working for him, especially servants or slaves",,
141,áo,,,"[coat] an outer garment worn outdoors, having sleeves and typically extending below the hips",,
142,thức ăn chăn nuôi,,,[feed] give food to,,
143,thung lũng,,,"[valley] a low area of land between hills or mountains, typically with a river or stream flowing through it",,
144,khối,,,"[block] a large solid piece of hard material, especially rock, stone, or wood, typically with flat surfaces on each side",,
145,công ty,,,[company] a commercial business,,
146,bông,,,[cotton] a soft white fibrous substance that surrounds the seeds of a tropical and subtropical plant and is used as textile fiber and thread for sewing,,
147,cột,,,"[column] an upright pillar, typically cylindrical and made of stone or concrete, supporting an entablature, arch, or other structure or standing alone as a monument.",,
