Number,Vietnamese,Type,Prototype,in English
1,as,,,as
2,I,,,I
3,his,,,his
4,that,,,that
5,he,,,he
6,was,,,was
7,for,,,for
8,on,,,on
9,are,,,are
10,with,,,with
11,they,,,they
12,be,,,be
13,at,,,at
14,one,,,one
15,have,,,have
16,this,,,this
17,from,,,from
18,by,,,by
19,hot,,,hot
20,word,,,word
21,but,,,but
22,what,,,what
23,some,,,some
24,is,,,is
25,it,,,it
26,you,,,you
27,or,,,or
28,had,,,had
29,the,,,the
30,of,,,of
31,to,,,to
32,and,,,and
33,a,,,a
34,in,,,in
35,we,,,we
36,can,,,can
37,out,,,out
38,other,,,other
39,were,,,were
40,which,,,which
41,do,,,do
42,their,,,their
43,time,,,time
44,if,,,if
45,will,,,will
46,how,,,how
47,said,,,said
48,an,,,an
49,each,,,each
50,tell,,,tell
51,does,,,does
52,set,,,set
53,three,,,three
54,want,,,want
55,air,,,air
56,well,,,well
57,also,,,also
58,play,,,play
59,small,,,small
60,end,,,end
61,put,,,put
62,home,,,home
63,read,,,read
64,hand,,,hand
65,port,,,port
66,large,,,large
67,spell,,,spell
68,add,,,add
69,even,,,even
70,land,,,land
71,here,,,here
72,must,,,must
73,big,,,big
74,high,,,high
75,such,,,such
76,follow,,,follow
77,act,,,act
78,why,,,why
79,ask,,,ask
80,men,,,men
81,change,,,change
82,went,,,went
83,light,,,light
84,kind,,,kind
85,off,,,off
86,need,,,need
87,house,,,house
88,picture,,,picture
89,try,,,try
90,us,,,us
91,again,,,again
92,animal,,,animal
93,point,,,point
94,mother,,,mother
95,world,,,world
96,near,,,near
97,build,,,build
98,self,,,self
99,earth,,,earth
100,father,,,father
101,any,,,any
102,new,,,new
103,work,,,work
104,part,,,part
105,take,,,take
106,get,,,get
107,place,,,place
108,made,,,made
109,live,,,live
110,where,,,where
111,after,,,after
112,back,,,back
113,little,,,little
114,only,,,only
115,round,,,round
116,man,,,man
117,year,,,year
118,came,,,came
119,show,,,show
120,every,,,every
121,good,,,good
122,me,,,me
123,give,,,give
124,our,,,our
125,under,,,under
126,name,,,name
127,very,,,very
128,through,,,through
129,just,,,just
130,form,,,form
131,sentence,,,sentence
132,great,,,great
133,think,,,think
134,say,,,say
135,help,,,help
136,low,,,low
137,line,,,line
138,differ,,,differ
139,turn,,,turn
140,cause,,,cause
141,much,,,much
142,mean,,,mean
143,before,,,before
144,move,,,move
145,right,,,right
146,boy,,,boy
147,old,,,old
148,too,,,too
149,same,,,same
150,she,,,she
151,all,,,all
152,there,,,there
153,when,,,when
154,up,,,up
155,use,,,use
156,your,,,your
157,way,,,way
158,about,,,about
159,many,,,many
160,then,,,then
161,them,,,them
162,write,,,write
163,would,,,would
164,like,,,like
165,so,,,so
166,these,,,these
167,her,,,her
168,long,,,long
169,make,,,make
170,thing,,,thing
171,see,,,see
172,him,,,him
173,two,,,two
174,has,,,has
175,look,,,look
176,more,,,more
177,day,,,day
178,could,,,could
179,go,,,go
180,come,,,come
181,did,,,did
182,number,,,number
183,sound,,,sound
184,no,,,no
185,most,,,most
186,people,,,people
187,my,,,my
188,over,,,over
189,know,,,know
190,water,,,water
191,than,,,than
192,call,,,call
193,first,,,first
194,who,,,who
195,may,,,may
196,down,,,down
197,side,,,side
198,been,,,been
199,now,,,now
